Id,salary
9348,684177
9349,548283
9350,997412
9351,262774
9352,471349
9353,842736
9354,298993
9355,534235
9356,379519
9357,604477
9358,149458
9359,551795
9360,366664
9361,1000000
9362,355398
9363,1000000
9364,366664
9365,968520
9366,298993
9367,961301
9368,162761
9369,265560
9370,726779
9371,163785
9372,406863
9373,727741
9374,168901
9375,890087
9376,593491
9377,558819
9378,722091
9379,251630
9380,963495
9381,802589
9382,869770
9383,1000000
9384,434153
9385,1000000
9386,795355
9387,304565
9388,899830
9389,326806
9390,432228
9391,177088
9392,474529
9393,831047
9394,604477
9395,714532
9396,830690
9397,958656
9398,162761
9399,304565
9400,527211
9401,607457
9402,558819
9403,625549
9404,425999
9405,1000000
9406,171971
9407,374217
9408,287849
9409,452779
9410,372836
9411,551795
9412,456969
9413,506138
9414,170948
9415,422886
9416,176064
9417,773284
9418,171971
9419,502626
9420,743928
9421,160715
9422,633070
9423,172995
9424,346227
9425,389935
9426,788362
9427,885927
9428,181181
9429,370571
9430,146389
9431,931180
9432,590428
9433,815031
9434,755662
9435,1000000
9436,544771
9437,527211
9438,392880
9439,939100
9440,326806
9441,914969
9442,132062
9443,716528
9444,1000000
9445,262774
9446,872574
9447,502626
9448,321282
9449,506138
9450,506138
9451,329640
9452,986013
9453,301779
9454,357500
9455,637114
9456,492090
9457,335212
9458,420338
9459,332426
9460,351928
9461,481553
9462,162761
9463,397294
9464,371431
9465,340784
9466,132062
9467,879574
9468,414506
9469,943275
9470,907843
9471,555307
9472,137179
9473,625549
9474,576380
9475,349906
9476,389991
9477,332426
9478,363072
9479,155598
9480,939986
9481,925455
9482,863862
9483,767395
9484,363072
9485,611501
9486,828667
9487,808339
9488,929422
9489,873612
9490,246058
9491,520186
9492,548283
9493,968427
9494,145365
9495,586916
9496,172995
9497,622037
9498,611501
9499,349142
9500,544771
9501,333319
9502,796788
9503,340784
9504,402162
9505,541259
9506,502626
9507,304565
9508,166855
9509,326854
9510,460481
9511,177088
9512,896828
9513,268346
9514,287849
9515,914745
9516,959448
9517,822847
9518,312923
9519,351928
9520,815194
9521,400183
9522,374217
9523,156622
9524,136155
9525,359305
9526,906785
9527,143319
9528,367572
9529,176064
9530,712651
9531,937310
9532,950379
9533,751459
9534,148435
9535,842141
9536,938546
9537,1000000
9538,944825
9539,1000000
9540,793175
9541,340784
9542,750694
9543,576380
9544,349142
9545,527211
9546,873055
9547,831312
9548,551795
9549,363041
9550,351928
9551,649925
9552,706189
9553,806471
9554,379789
9555,154575
9556,586916
9557,405675
9558,158668
9559,810262
9560,910232
9561,828138
9562,426736
9563,852098
9564,865214
9565,914533
9566,825322
9567,405164
9568,847337
9569,906056
9570,140249
9571,399389
9572,151505
9573,271133
9574,132062
9575,984374
9576,376006
9577,373403
9578,358738
9579,845221
9580,832105
9581,377003
9582,558819
9583,349566
9584,378611
9585,618525
9586,180158
9587,565844
9588,393728
9589,588283
9590,268346
9591,770277
9592,138202
9593,357500
9594,243272
9595,163785
9596,386425
9597,358738
9598,872261
9599,909615
9600,947546
9601,155598
9602,296207
9603,785690
9604,332426
9605,419941
9606,151505
9607,565844
9608,815656
9609,304565
9610,144342
9611,686985
9612,693120
9613,495602
9614,346356
9615,548283
9616,432001
9617,142295
9618,163785
9619,922628
9620,565844
9621,622037
9622,144342
9623,400861
9624,140249
9625,520186
9626,140249
9627,318496
9628,858151
9629,862908
9630,169925
9631,555307
9632,332426
9633,337998
9634,407880
9635,163785
9636,631673
9637,478041
9638,1000000
9639,315709
9640,371431
9641,293421
9642,257202
9643,755448
9644,625549
9645,509650
9646,174018
9647,964911
9648,513162
9649,593940
9650,467505
9651,781199
9652,907195
9653,378838
9654,877570
9655,354714
9656,961301
9657,618525
9658,360286
9659,807974
9660,423904
9661,534235
9662,144342
9663,146389
9664,424868
9665,687628
9666,376289
9667,137179
9668,166855
9669,324068
9670,404597
9671,268346
9672,1000000
9673,435171
9674,321258
9675,1000000
9676,422716
9677,572868
9678,343570
9679,363268
9680,583404
9681,176064
9682,156622
9683,377003
9684,326854
9685,846068
9686,1000000
9687,774297
9688,776661
9689,360286
9690,937394
9691,697617
9692,881983
9693,811800
9694,593940
9695,257202
9696,1000000
9697,782786
9698,583404
9699,841000
9700,815644
9701,833063
9702,516674
9703,502626
9704,148435
9705,617066
9706,904380
9707,447061
9708,332426
9709,583404
9710,161738
9711,374217
9712,898679
9713,394181
9714,901231
9715,959357
9716,343570
9717,135132
9718,805859
9719,907297
9720,896299
9721,163785
9722,854708
9723,155598
9724,246058
9725,943689
9726,368645
9727,367855
9728,961566
9729,569356
9730,148435
9731,951080
9732,257202
9733,446834
9734,558819
9735,169925
9736,372610
9737,1000000
9738,338980
9739,562331
9740,346113
9741,862866
9742,310137
9743,398652
9744,794027
9745,788947
9746,450117
9747,513162
9748,654600
9749,805018
9750,168901
9751,704425
9752,389481
9753,622037
9754,853893
9755,645342
9756,379789
9757,172995
9758,1000000
9759,403069
9760,1000000
9761,783454
9762,537747
9763,146389
9764,447174
9765,590428
9766,141272
9767,396784
9768,363495
9769,478041
9770,926730
9771,405842
9772,647620
9773,1000000
9774,583404
9775,565844
9776,351928
9777,243272
9778,534235
9779,488578
9780,902684
9781,862793
9782,425659
9783,163785
9784,156622
9785,359872
9786,394805
9787,157645
9788,882437
9789,169925
9790,936071
9791,701167
9792,857558
9793,906074
9794,276705
9795,728799
9796,388914
9797,340111
9798,1000000
9799,144342
9800,743971
9801,877722
9802,142295
9803,982787
9804,460481
9805,629061
9806,647108
9807,265560
9808,461610
9809,251630
9810,158668
9811,152528
9812,736042
9813,147412
9814,307351
9815,136155
9816,908577
9817,158668
9818,562331
9819,318496
9820,387783
9821,523698
9822,132062
9823,172995
9824,354714
9825,869116
9826,583404
9827,1000000
9828,149458
9829,332426
9830,315709
9831,348889
9832,499114
9833,827967
9834,368645
9835,331167
9836,607273
9837,618525
9838,902695
9839,296207
9840,425149
9841,979178
9842,318496
9843,324068
9844,502626
9845,513162
9846,720599
9847,158668
9848,767807
9849,537747
9850,779051
9851,418526
9852,412411
9853,135132
9854,324068
9855,881861
9856,901946
9857,481553
9858,775480
9859,650938
9860,590428
9861,811456
9862,633127
9863,781670
9864,973624
9865,929565
9866,310137
9867,318496
9868,799604
9869,971429
9870,265560
9871,147412
9872,151505
9873,141272
9874,329640
9875,729438
9876,471017
9877,399049
9878,374217
9879,418696
9880,131039
9881,881768
9882,427924
9883,312923
9884,379119
9885,495602
9886,381497
9887,175041
9888,948325
9889,174018
9890,134109
9891,788418
9892,372893
9893,259988
9894,435057
9895,467505
9896,421469
9897,565844
9898,467505
9899,527211
9900,972999
9901,150482
9902,579892
9903,180158
9904,863191
9905,380253
9906,844957
9907,478041
9908,421075
9909,846645
9910,439191
9911,337998
9912,132062
9913,420451
9914,176064
9915,474529
9916,339264
9917,151505
9918,804479
9919,180158
9920,718460
9921,147412
9922,318496
9923,572868
9924,141272
9925,852698
9926,733122
9927,279491
9928,351928
9929,947388
9930,307351
9931,1000000
9932,268346
9933,168901
9934,368136
9935,365136
9936,290635
9937,419093
9938,361230
9939,262774
9940,287849
9941,153552
9942,761735
9943,478041
9944,516674
9945,377003
9946,374217
9947,513162
9948,933032
9949,377197
9950,842138
9951,1000000
9952,1000000
9953,410089
9954,880671
9955,457987
9956,454704
9957,296207
9958,516674
9959,672207
9960,586916
9961,509650
9962,369440
9963,396503
9964,172995
9965,471576
9966,615013
9967,166855
9968,581605
9969,140249
9970,693362
9971,154575
9972,172995
9973,585547
9974,903440
9975,371431
9976,541259
9977,401541
9978,133086
9979,377251
9980,857125
9981,165831
9982,926949
9983,164808
9984,321282
9985,1000000
9986,725338
9987,156622
9988,329640
9989,618525
9990,463993
9991,436926
9992,170948
9993,1000000
9994,945183
9995,180158
9996,390442
9997,293421
9998,151505
9999,801145
